"name ","ref"
"Parroquia Marcelino Briceño","res_country_state_municipalities_502"
"Parroquia Pueblo Nuevo ","res_country_state_municipalities_502"
"Parroquia Ambrosio","res_country_state_municipalities_503"
"Parroquia Carmen Herrera","res_country_state_municipalities_503"
"Parroquia Germán Ríos Linares","res_country_state_municipalities_503"
"Parroquia La Rosa","res_country_state_municipalities_503"
"Parroquia Jorge Hernández","res_country_state_municipalities_503"
"Parroquia Rómulo Betancourt ","res_country_state_municipalities_503"
"Parroquia San Benito ","res_country_state_municipalities_503"
"Parroquia Arístides Calvani ","res_country_state_municipalities_503"
"Parroquia Punta Gorda","res_country_state_municipalities_503"
"Parroquia Encontrados","res_country_state_municipalities_522"
"Parroquia Udón Pérez","res_country_state_municipalities_522"
"Parroquia San Carlos del Zulia","res_country_state_municipalities_504"
"Parroquia Moralito","res_country_state_municipalities_504"
"Parroquia Santa Bárbara","res_country_state_municipalities_504"
"Parroquia Santa Cruz del Zulia","res_country_state_municipalities_504"
"Parroquia Urribarri","res_country_state_municipalities_504"
"Parroquia Simón Rodríguez","res_country_state_municipalities_505"
"Parroquia Carlos Quevedo","res_country_state_municipalities_505"
"Parroquia Francisco Javier Pulgar ","res_country_state_municipalities_505"
"Parroquia La Concepción","res_country_state_municipalities_506"
"Parroquia José Ramón Yepes","res_country_state_municipalities_506"
"Parroquia Mariano Parra León ","res_country_state_municipalities_506"
"Parroquia San José ","res_country_state_municipalities_506"
"Parroquia Jesús María Semprún ","res_country_state_municipalities_507"
"Parroquia Barí ","res_country_state_municipalities_507"
"Parroquia Concepción","res_country_state_municipalities_508"
"Parroquia Andrés Bello","res_country_state_municipalities_508"
"Parroquia Chiquinquirá","res_country_state_municipalities_508"
"Parroquia El Carmelo","res_country_state_municipalities_508"
"Parroquia Potreritos","res_country_state_municipalities_508"
"Parroquia Alonso de Ojeda","res_country_state_municipalities_509"
"Parroquia Libertad","res_country_state_municipalities_509"
"Parroquia Campo Lara","res_country_state_municipalities_509"
"Parroquia Eleazar López Contreras","res_country_state_municipalities_509"
"Parroquia Venezuela","res_country_state_municipalities_509"
"Parroquia Libertad","res_country_state_municipalities_510"
"Parroquia Bartolomé de las Casas","res_country_state_municipalities_510"
"Parroquia Río Negro ","res_country_state_municipalities_510"
"Parroquia San José de Perijá","res_country_state_municipalities_510"
"Parroquia San Rafael","res_country_state_municipalities_511"
"Parroquia La Sierrita","res_country_state_municipalities_511"
"Parroquia Las Parcelas ","res_country_state_municipalities_511"
"Parroquia Luis de Vicente","res_country_state_municipalities_511"
"Parroquia Monseñor Marcos Sergio Godoy","res_country_state_municipalities_511"
"Parroquia Ricaurte","res_country_state_municipalities_511"
"Parroquia Tamare ","res_country_state_municipalities_511"
"Parroquia Antonio Borjas Romero","res_country_state_municipalities_512"
"Parroquia Bolívar","res_country_state_municipalities_512"
"Parroquia Cacique Mara","res_country_state_municipalities_512"
"Parroquia Caracciolo Parra Pérez","res_country_state_municipalities_512"
"Parroquia Cecilio Acosta","res_country_state_municipalities_512"
"Parroquia Cristo de Aranza","res_country_state_municipalities_512"
"Parroquia Coquivacoa","res_country_state_municipalities_512"
"Parroquia Chiquinquirá","res_country_state_municipalities_512"
"Parroquia Francisco Eugenio Bustamante","res_country_state_municipalities_512"
"Parroquia Idelfonso Vásquez","res_country_state_municipalities_512"
"Parroquia Juana de Avila","res_country_state_municipalities_512"
"Parroquia Luis Hurtado Higuera","res_country_state_municipalities_512"
"Parroquia Manuel Dagnino","res_country_state_municipalities_512"
"Parroquia Olegario Villalobos","res_country_state_municipalities_512"
"Parroquia Raúl Leoni","res_country_state_municipalities_512"
"Parroquia Santa Lucía","res_country_state_municipalities_512"
"Parroquia Venancio Pulgar","res_country_state_municipalities_512"
"Parroquia San Isidro","res_country_state_municipalities_512"
"Parroquia Altagracia","res_country_state_municipalities_513"
"Parroquia Ana María Campos","res_country_state_municipalities_513"
"Parroquia Faría","res_country_state_municipalities_513"
"Parroquia San Antonio","res_country_state_municipalities_513"
"Parroquia San José","res_country_state_municipalities_513"
"Parroquia Sinamaica","res_country_state_municipalities_514"
"Parroquia Alta Guajira ","res_country_state_municipalities_514"
"Parroquia Elías Sánchez Rubio","res_country_state_municipalities_514"
"Parroquia Guajira","res_country_state_municipalities_514"
"Parroquia El Rosario","res_country_state_municipalities_515"
"Parroquia Donaldo García","res_country_state_municipalities_515"
"Parroquia Sixto Zambrano","res_country_state_municipalities_515"
"Parroquia San Francisco","res_country_state_municipalities_517"
"Parroquia El Bajo/","res_country_state_municipalities_517"
"Parroquia Domitila Flores","res_country_state_municipalities_517"
"Parroquia Francisco Ochoa","res_country_state_municipalities_517"
"Parroquia Los Cortijos ","res_country_state_municipalities_517"
"Parroquia Marcial Hernández","res_country_state_municipalities_517"
"Parroquia Jose Domingo Rus ","res_country_state_municipalities_517"
"Parroquia Santa Rita","res_country_state_municipalities_518"
"Parroquia El Mene","res_country_state_municipalities_518"
"Parroquia José Cenovio Urribarri ","res_country_state_municipalities_518"
"Parroquia Pedro Lucas Urribarri","res_country_state_municipalities_518"
"Parroquia Manuel Manrique ","res_country_state_municipalities_519"
"Parroquia Rafael María Baralt ","res_country_state_municipalities_519"
"Parroquia Rafael Urdaneta","res_country_state_municipalities_519"
"Parroquia Bobures","res_country_state_municipalities_520"
"Parroquia El Batey ","res_country_state_municipalities_520"
"Parroquia Gibraltar","res_country_state_municipalities_520"
"Parroquia Heras","res_country_state_municipalities_520"
"Parroquia Monseñor Arturo Celestino Alvarez","res_country_state_municipalities_520"
"Parroquia Rómulo Gallegos","res_country_state_municipalities_520"
"Parroquia La Victoria","res_country_state_municipalities_521"
"Parroquia Rafael Urdaneta ","res_country_state_municipalities_521"
"Parroquia Raúl Cuenca","res_country_state_municipalities_521"
